,county,year,totalPopulation
3865,Yuma,2012,10086
3866,Yuma,2013,10157
3867,Yuma,2014,10200
3868,Yuma,2015,10059
3869,Yuma,2016,10077
3870,Yuma,2017,9997
3871,Yuma,2018,9969
3872,Yuma,2019,10064
3873,Yuma,2020,10112
3874,Yuma,2021,10113
3875,Yuma,2022,10158
3876,Yuma,2023,10186
3877,Yuma,2024,10237
3878,Yuma,2025,10278
3879,Yuma,2026,10345
3880,Yuma,2027,10409
3881,Yuma,2028,10482
3882,Yuma,2029,10502
3883,Yuma,2030,10520
3884,Yuma,2031,10541
3885,Yuma,2032,10558
3886,Yuma,2033,10588
3887,Yuma,2034,10602
3888,Yuma,2035,10635
3889,Yuma,2036,10659
3890,Yuma,2037,10688
3891,Yuma,2038,10707
3892,Yuma,2039,10730
3893,Yuma,2040,10746
3894,Yuma,2041,10760
3895,Yuma,2042,10774
3896,Yuma,2043,10785
3897,Yuma,2044,10798
3898,Yuma,2045,10807
3899,Yuma,2046,10818
3900,Yuma,2047,10823
3901,Yuma,2048,10832
3902,Yuma,2049,10835
3903,Yuma,2050,10852
